"","side_a","gwno_a","conflict_years"
"1","Government of Afghanistan","700",53
"2","Government of Albania","339",1
"3","Government of Algeria","615",31
"4","Government of Angola","540",42
"5","Government of Argentina","160",7
"6","Government of Australia, Government of United Kingdom, Government of United States of America","900,  200,  2",1
"7","Government of Azerbaijan","373",17
"8","Government of Bangladesh","771",21
"9","Government of Bolivia","145",3
"10","Government of Bosnia-Herzegovina","346",10
"11","Government of Burkina Faso","439",9
"12","Government of Burundi","516",22
"13","Government of Cambodia (Kampuchea)","811",36
"14","Government of Cameroon","471",17
"15","Government of Central African Republic","482",15
"16","Government of Chad","483",48
"17","Government of Chile","155",1
"18","Government of China","710",28
"19","Government of Colombia","100",57
"20","Government of Comoros","581",2
"21","Government of Congo","484",6
"22","Government of Costa Rica","94",1
"23","Government of Croatia","344",3
"24","Government of Cuba","40",5
"25","Government of Cyprus","352",1
"26","Government of Djibouti","522",6
"27","Government of Dominican Republic","42",1
"28","Government of DR Congo (Zaire)","490",40
"29","Government of Ecuador","130",1
"30","Government of Egypt","651",24
"31","Government of Egypt, Government of Iraq, Government of Jordan, Government of Lebanon, Government of Syria","651,  645,  663,  660,  652",2
"32","Government of El Salvador","92",15
"33","Government of Eritrea","531",7
"34","Government of Ethiopia","530",130
"35","Government of France","220",52
"36","Government of Gabon","481",1
"37","Government of Gambia","420",1
"38","Government of Georgia","372",8
"39","Government of Ghana","452",3
"40","Government of Greece","350",4
"41","Government of Grenada","55",1
"42","Government of Guatemala","90",34
"43","Government of Guinea","438",2
"44","Government of Guinea-Bissau","404",2
"45","Government of Haiti","41",3
"46","Government of Honduras","91",1
"47","Government of Hungary","310",1
"48","Government of Hyderabad","751",3
"49","Government of India","750",208
"50","Government of Indonesia","850",49
"51","Government of Iran","630",61
"52","Government of Iraq","645",65
"53","Government of Israel","666",79
"54","Government of Ivory Coast","437",4
"55","Government of Jordan","663",1
"56","Government of Kenya","501",8
"57","Government of Kyrgyzstan","703",1
"58","Government of Laos","812",19
"59","Government of Lebanon","660",13
"60","Government of Lesotho","570",1
"61","Government of Liberia","450",7
"62","Government of Libya","620",12
"63","Government of Madagascar","580",1
"64","Government of Malaysia","820",11
"65","Government of Mali","432",26
"66","Government of Mauritania","435",5
"67","Government of Mexico","70",2
"68","Government of Moldova","359",1
"69","Government of Morocco","600",16
"70","Government of Mozambique","541",24
"71","Government of Myanmar (Burma)","775",286
"72","Government of Nepal","790",14
"73","Government of Netherlands","210",4
"74","Government of Nicaragua","93",12
"75","Government of Niger","436",15
"76","Government of Nigeria","475",27
"77","Government of North Korea","731",5
"78","Government of North Macedonia","343",1
"79","Government of Oman","698",8
"80","Government of Pakistan","770",43
"81","Government of Panama","95",2
"82","Government of Papua New Guinea","910",6
"83","Government of Paraguay","150",3
"84","Government of Peru","135",23
"85","Government of Philippines","840",115
"86","Government of Portugal","235",36
"87","Government of Romania","360",1
"88","Government of Russia (Soviet Union)","365",44
"89","Government of Rwanda","517",19
"90","Government of Saudi Arabia","670",1
"91","Government of Senegal","433",10
"92","Government of Serbia (Yugoslavia)","345",5
"93","Government of Sierra Leone","451",11
"94","Government of Somalia","520",36
"95","Government of South Africa","560",30
"96","Government of South Sudan","626",12
"97","Government of South Vietnam","817",21
"98","Government of South Yemen","680",3
"99","Government of Spain","230",11
"100","Government of Sri Lanka","780",27
"101","Government of Sudan","625",51
"102","Government of Suriname","115",1
"103","Government of Syria","652",31
"104","Government of Tajikistan","702",10
"105","Government of Tanzania","510",2
"106","Government of Thailand","800",29
"107","Government of Togo","461",1
"108","Government of Trinidad and Tobago","52",1
"109","Government of Tunisia","616",5
"110","Government of Turkey","640",46
"111","Government of Uganda","500",42
"112","Government of Ukraine","369",11
"113","Government of United Kingdom","200",48
"114","Government of United States of America","2",19
"115","Government of Uruguay","165",1
"116","Government of Uzbekistan","704",3
"117","Government of Venezuela","101",3
"118","Government of Yemen (North Yemen)","678",31
"119","Government of Zimbabwe (Rhodesia)","552",9
